Mathematics Skill,Science Skill,Literature Skill,History Skill,Art Skill,Computer Science Skill,Analytical Skills,Creative Skills,Leadership Skills,Technical Skills,Communication Skills,Interest in an Office Job,Interest in Outdoor Work,Interest in Laboratory Work,Interest in Remote Work,Interest in Working with People,Interest in Working with Technology,Interest in Working with Nature,Industry
7,5,8,7,3,6,7,7,10,5,9,9,5,4,4,9,6,5,Public Administration
6,4,5,5,6,6,4,9,7,5,9,6,3,3,7,7,7,4,Retail
4,5,7,6,5,6,7,4,7,5,7,10,5,4,5,8,5,5,Administrative and Support Services
7,2,6,7,4,3,5,6,9,3,8,9,6,3,6,7,5,5,Real Estate
7,7,5,5,4,7,9,6,8,8,7,8,6,6,5,5,7,6,Telecommunications
5,5,7,7,5,5,6,4,9,3,10,8,3,2,4,10,6,6,Public Administration
4,4,7,5,10,4,8,8,7,5,8,8,5,4,9,10,6,4,Advertising
7,7,4,4,4,7,8,6,5,8,6,8,3,5,7,8,7,3,Telecommunications
5,6,5,4,5,6,5,5,6,7,6,6,8,3,5,7,8,5,Construction
7,7,5,4,5,6,6,6,8,9,5,5,8,6,6,7,10,6,Transportation
4,8,2,2,3,3,5,6,6,7,8,3,8,5,3,7,2,10,Husbandry
8,6,4,7,2,9,9,6,8,8,8,10,1,9,9,8,9,4,Financial Services
4,5,9,7,8,4,7,8,8,3,10,5,6,2,8,8,3,4,Arts and Entertainment
4,3,6,5,5,4,5,7,9,4,9,9,5,4,5,8,7,3,Public Administration
7,7,2,2,3,10,9,5,8,9,7,8,3,8,8,5,10,2,Information Technology
5,6,5,6,6,5,5,6,10,3,7,8,4,3,7,10,7,5,Public Administration
4,6,7,7,3,3,8,6,7,4,8,9,3,5,6,10,7,5,Administrative and Support Services
7,6,4,2,3,4,7,7,6,7,6,6,4,7,7,7,10,5,Manufacturing
4,9,3,3,3,5,7,6,7,8,7,6,7,9,5,8,8,5,Biology
8,2,8,6,5,6,5,6,8,3,9,10,5,3,5,10,5,3,Real Estate
9,10,5,4,7,9,9,6,7,8,7,8,4,9,6,8,10,4,Aerospace
10,8,4,2,4,9,10,8,9,9,8,9,4,10,6,7,9,7,Engineering
7,8,5,2,3,9,9,6,5,9,7,8,2,9,8,8,8,2,Information Technology
9,8,4,4,5,9,9,7,8,9,8,8,2,8,10,6,8,2,Information Technology
9,9,3,5,7,9,10,8,8,9,6,9,2,8,7,6,8,2,Aerospace
7,7,5,5,3,10,9,7,8,9,7,8,3,6,10,8,8,3,Information Technology
5,10,4,5,5,5,8,5,6,7,7,7,6,6,4,9,8,5,Health Care
5,7,2,5,4,5,7,4,9,7,5,6,8,4,3,7,7,6,Waste Management
3,7,4,5,3,4,7,8,8,8,9,4,9,4,1,8,3,9,Husbandry
9,10,4,7,6,7,10,7,8,9,7,8,2,10,5,7,10,2,Aerospace
7,9,4,2,2,7,9,7,6,9,6,5,3,8,7,4,9,6,Chemistry
3,5,5,3,5,5,7,8,6,5,7,4,5,5,4,8,5,5,Food
3,2,7,6,10,6,6,10,6,7,7,5,8,3,8,7,4,7,Photography
5,5,6,5,5,5,5,8,5,4,7,6,8,2,5,7,3,7,Food
10,6,2,5,3,8,9,7,7,8,8,7,2,7,9,6,10,3,Information Technology
4,5,4,5,4,1,5,8,8,6,6,2,9,4,2,9,4,8,Husbandry
5,5,4,3,5,6,8,6,6,10,5,7,7,6,5,7,10,5,Transportation
8,9,7,4,6,2,7,4,9,9,7,7,4,6,5,9,7,7,Health Care
7,6,4,2,1,4,5,4,9,9,6,5,6,5,6,7,6,6,Waste Management
3,8,3,4,5,1,6,6,9,7,7,2,9,3,3,8,2,10,Husbandry
5,3,8,7,4,4,8,7,7,4,9,10,3,5,7,8,6,2,Legal Services
9,10,4,5,3,7,10,4,5,8,5,6,5,8,5,4,7,6,Chemistry
3,6,4,3,2,2,7,5,6,7,9,2,10,3,4,8,5,9,Husbandry
10,8,4,3,5,7,9,4,6,9,6,8,4,7,8,6,9,2,Mathematics
8,5,8,7,3,5,8,6,8,7,8,10,5,6,8,10,5,4,Business
4,3,6,8,8,7,7,8,6,7,8,6,3,4,9,7,5,5,Advertising
5,3,8,7,5,4,4,9,9,5,7,9,5,3,5,9,4,5,Retail
8,7,5,5,3,7,6,7,7,9,5,5,6,7,6,8,7,3,Utilities
7,8,5,2,6,6,6,5,9,9,6,5,5,6,7,7,8,5,Manufacturing
7,10,2,4,4,6,9,7,6,6,8,5,5,9,6,6,7,5,Biology
9,9,3,4,2,10,8,6,6,9,8,10,1,9,10,8,9,2,Cybersecurity
5,5,2,2,6,7,6,5,8,8,6,7,4,5,6,5,8,5,Manufacturing
9,7,3,5,2,9,10,5,9,8,8,9,4,8,6,5,7,4,Finance
9,8,3,7,6,8,10,7,7,9,9,8,2,7,5,7,10,4,Aerospace
7,7,3,2,3,4,8,5,8,8,7,5,6,3,5,8,5,5,Waste Management
8,9,4,5,6,5,7,7,9,8,8,6,5,8,4,9,8,6,Health Care
6,9,1,6,3,4,5,5,7,7,6,4,8,4,2,5,5,7,Agriculture
7,6,8,6,5,4,6,5,8,3,7,10,6,5,5,8,6,6,Public Administration
9,5,3,4,4,6,6,4,7,7,6,7,6,8,4,5,7,3,Utilities
5,5,9,6,5,6,7,7,5,6,9,7,5,4,5,8,6,2,Publishing
7,10,3,5,3,7,9,7,7,9,4,5,3,9,6,6,7,3,Chemistry
5,6,3,4,6,4,7,5,7,9,7,7,6,8,4,5,9,3,Manufacturing
5,4,4,3,3,6,7,6,8,8,7,6,8,6,6,5,7,3,Transportation
8,4,6,7,4,8,6,8,10,7,7,8,3,4,8,8,8,2,Business
8,10,6,5,4,9,8,7,7,9,9,9,4,10,7,7,9,2,Aerospace
5,5,9,8,10,4,7,10,8,5,7,6,6,3,7,7,6,3,Advertising
7,8,5,6,2,3,4,5,7,6,8,5,8,3,2,6,3,10,Agriculture
3,4,10,6,6,3,7,8,5,3,9,8,5,4,8,7,3,5,Publishing
8,9,4,3,4,5,9,7,5,8,7,6,3,9,8,6,8,6,Chemistry
4,5,5,4,4,3,7,6,8,6,7,6,9,5,6,6,6,6,Waste Management
10,9,5,3,2,10,9,7,7,8,7,10,4,8,8,5,10,1,Cybersecurity
10,4,4,7,4,7,9,6,6,9,7,10,3,9,9,8,7,2,Financial Services
10,9,5,4,5,9,10,5,7,9,7,7,4,7,9,6,10,4,Information Technology
7,5,8,5,4,7,7,8,7,6,10,10,2,7,8,10,6,3,Business
7,4,6,4,5,5,7,7,9,5,8,8,7,5,5,7,6,4,Real Estate
6,8,5,7,4,3,8,7,7,7,10,8,6,7,7,10,8,5,Health Care
5,3,6,6,3,4,8,5,9,3,7,7,4,3,4,8,4,4,Public Administration
8,9,6,5,5,9,9,7,8,10,8,8,5,9,8,7,10,2,Aerospace
7,6,7,8,6,5,7,7,9,7,9,9,4,7,7,8,5,3,Business
2,4,6,5,9,1,6,8,5,3,9,7,8,4,5,10,5,5,Arts and Entertainment
3,6,2,5,2,2,5,5,9,6,6,1,10,5,1,8,2,9,Husbandry
9,8,3,3,2,9,10,6,8,10,6,9,3,8,10,5,9,3,Information Technology
7,9,7,9,6,7,9,6,6,5,7,7,4,5,5,8,8,5,Educational
5,8,2,5,5,4,8,4,6,7,6,7,6,8,5,8,10,3,Manufacturing
7,8,5,6,5,8,8,4,5,9,7,5,7,8,6,6,7,3,Utilities
2,5,3,6,7,5,6,8,6,5,5,3,7,3,7,5,6,8,Food
8,7,3,2,4,10,8,6,5,9,8,10,1,10,9,7,8,3,Cybersecurity
8,9,3,5,3,8,8,6,6,10,8,9,3,8,10,7,10,4,Information Technology
8,10,4,4,3,10,9,8,7,8,8,7,7,8,6,5,10,7,Engineering
5,7,3,3,7,5,7,9,8,6,6,4,5,3,6,7,6,8,Food
6,6,5,4,2,5,6,4,5,8,4,5,8,6,4,5,7,5,Transportation
7,4,5,8,5,7,7,5,7,5,9,10,4,5,6,10,5,5,Business
6,8,7,6,5,2,8,5,8,9,9,6,5,8,4,10,5,5,Health Care
7,7,7,9,7,7,7,9,6,8,8,7,7,8,8,9,7,4,Educational
9,10,4,2,3,10,9,5,7,8,8,9,3,7,8,8,9,2,Cybersecurity
8,8,5,7,4,8,9,8,8,8,6,7,4,9,6,7,8,5,Aerospace
7,9,8,6,8,5,8,7,7,5,8,8,6,5,8,8,6,4,Educational
8,7,3,6,5,6,8,4,8,7,7,5,6,7,5,5,9,5,Utilities
10,4,4,6,4,9,9,6,6,10,5,8,2,6,9,8,7,3,Financial Services
6,8,6,7,6,5,6,7,9,6,7,6,5,8,7,8,6,6,Health Care
5,4,7,4,6,3,5,4,7,4,10,9,6,3,5,7,7,4,Administrative and Support Services
6,2,8,9,8,4,8,6,7,6,9,9,3,4,6,8,6,4,Publishing
5,5,7,7,10,3,8,10,6,5,7,5,5,2,5,7,5,7,Photography
7,5,7,4,4,6,6,5,7,4,8,8,7,5,5,10,4,3,Real Estate
9,10,4,4,7,10,9,6,8,10,9,10,4,7,7,8,8,3,Aerospace
4,6,2,4,3,4,8,5,9,9,4,6,9,3,3,8,7,8,Waste Management
8,4,3,5,4,5,8,6,9,7,6,5,7,6,4,8,8,4,Construction
6,4,7,5,5,4,6,8,8,4,10,10,4,3,8,9,5,2,Real Estate
4,6,3,2,3,3,4,5,6,8,9,2,9,3,1,9,2,9,Husbandry
10,10,2,3,2,6,9,6,6,7,5,7,5,10,6,4,10,2,Mathematics
8,7,3,7,4,6,10,4,9,7,7,8,4,6,8,7,8,2,Financial Services
6,6,5,2,4,5,5,6,9,8,7,6,6,5,3,6,8,6,Waste Management
5,5,7,6,8,6,4,7,7,4,10,9,4,2,8,10,4,3,Retail
7,5,10,7,3,3,9,7,6,4,9,9,4,5,7,9,4,2,Legal Services
4,5,8,4,6,4,7,6,8,4,10,9,5,4,6,10,7,2,Retail
7,7,2,2,5,6,6,6,8,8,5,6,10,4,6,6,9,6,Construction
3,9,3,6,3,2,6,4,5,5,8,2,7,6,3,7,3,9,Agriculture
10,8,3,4,3,6,8,4,5,10,6,7,2,7,6,5,7,4,Mathematics
3,3,6,5,3,6,8,4,8,6,10,9,6,3,4,7,6,4,Administrative and Support Services
8,10,5,3,3,7,9,6,9,8,6,8,7,9,7,7,8,6,Engineering
6,5,9,9,4,5,9,7,6,7,8,9,5,2,6,8,4,3,Legal Services
8,6,3,3,6,4,6,6,6,9,6,5,3,7,5,8,9,3,Manufacturing
7,7,4,6,2,10,9,6,5,8,8,8,6,7,5,8,10,3,Telecommunications
4,6,8,5,3,3,6,4,6,7,10,9,5,2,4,7,6,5,Administrative and Support Services
8,9,3,3,5,10,10,8,6,8,6,8,3,8,10,7,8,2,Cybersecurity
5,10,3,4,4,6,7,7,5,7,6,4,7,8,5,6,9,5,Biology
9,5,7,6,5,6,7,6,9,5,9,9,4,4,7,7,5,3,Business
5,5,3,6,3,4,4,5,6,5,7,3,9,3,5,7,5,7,Agriculture
8,6,5,2,2,8,9,7,8,8,7,8,1,9,10,5,8,4,Information Technology
8,10,4,3,3,10,8,5,6,9,6,9,6,8,8,6,9,5,Engineering
5,4,3,4,3,5,6,6,5,8,5,6,7,6,5,5,10,4,Transportation
8,6,4,2,4,10,8,7,8,9,7,7,1,8,8,5,10,4,Information Technology
5,3,5,7,4,6,8,7,6,4,10,10,4,3,8,8,7,4,Real Estate
4,5,6,8,6,6,8,5,9,6,9,9,3,5,5,10,7,3,Public Administration
3,9,3,4,4,4,6,6,7,7,5,5,9,4,3,7,4,9,Agriculture
4,4,6,5,10,1,6,9,5,2,9,8,5,5,8,8,2,2,Arts and Entertainment
7,6,3,4,6,5,7,5,7,9,5,5,5,8,7,5,7,5,Manufacturing
3,4,6,5,7,5,7,6,6,6,7,3,7,2,7,8,6,7,Food
6,8,7,4,5,2,6,7,7,8,7,9,6,8,5,10,8,4,Health Care
8,9,6,8,7,5,7,6,7,8,7,6,4,8,6,8,5,5,Educational
7,4,10,9,3,6,10,6,8,4,10,10,4,2,6,9,3,5,Legal Services
5,2,8,9,6,5,7,6,8,5,9,7,6,3,7,7,5,2,Publishing
6,6,6,6,2,9,8,6,8,7,8,6,6,5,6,7,7,6,Telecommunications
7,7,8,7,5,6,6,7,8,5,9,10,3,6,8,9,8,5,Business
10,10,3,3,4,9,10,4,6,10,5,9,4,9,9,6,7,3,Mathematics
7,2,7,7,7,6,6,7,9,4,9,10,6,2,5,8,6,4,Real Estate
6,6,4,2,4,5,7,6,8,9,7,6,10,4,3,6,8,3,Construction
5,7,4,4,4,4,8,5,6,10,5,6,6,5,7,6,10,4,Manufacturing
3,7,2,4,4,1,4,5,7,8,8,1,9,3,2,9,4,10,Husbandry
6,3,8,4,3,5,6,7,5,6,10,10,3,3,7,10,7,2,Administrative and Support Services
3,2,7,6,9,4,7,10,7,5,6,8,7,3,5,8,7,8,Photography
7,3,10,9,3,6,9,5,6,6,8,8,4,4,5,8,5,3,Legal Services
7,6,5,5,3,9,10,8,6,9,7,9,2,8,10,6,8,2,Information Technology
4,2,9,7,8,6,7,9,7,5,8,9,4,2,6,8,6,4,Publishing
8,9,7,5,7,4,8,5,6,9,9,9,6,7,4,10,6,6,Health Care
9,6,3,5,4,8,10,5,6,9,6,9,3,6,6,5,8,2,Financial Services
9,10,4,2,2,8,8,8,8,9,6,9,4,7,8,6,8,5,Engineering
4,6,5,6,5,2,6,6,5,6,7,5,5,5,6,7,6,7,Food
9,8,4,6,2,9,10,5,6,10,7,8,1,7,7,5,7,3,Finance
10,9,5,3,4,6,8,5,8,9,7,6,4,8,6,4,10,4,Mathematics
2,3,8,5,10,3,6,10,8,5,8,7,8,3,8,8,4,5,Arts and Entertainment
7,4,6,7,5,5,6,5,9,5,8,9,3,5,7,10,5,6,Public Administration
8,7,5,6,4,7,7,6,6,10,5,6,6,8,5,7,9,5,Utilities
9,5,6,5,6,8,8,5,8,7,7,10,5,4,9,9,6,5,Business
5,5,6,5,8,2,5,6,6,6,8,5,8,5,4,5,6,6,Food
3,4,9,6,9,3,8,8,6,2,9,8,8,2,8,8,4,2,Arts and Entertainment
7,4,7,5,5,5,9,6,8,7,10,8,4,5,8,10,6,5,Business
4,3,8,7,4,5,9,5,8,5,8,8,4,2,5,9,3,3,Legal Services
4,6,9,8,5,4,9,7,6,6,8,9,2,5,7,8,6,3,Legal Services
5,6,3,4,4,4,7,6,9,10,6,6,8,4,3,6,9,6,Construction
8,5,8,5,7,5,5,5,9,6,9,10,6,2,6,8,5,4,Real Estate
5,5,6,7,5,6,6,4,10,4,7,8,5,3,7,8,5,5,Public Administration
8,5,3,5,4,5,8,5,8,8,5,5,10,4,5,6,7,3,Construction
6,4,8,8,10,7,7,10,7,7,8,7,4,5,7,9,5,3,Advertising
10,10,2,5,5,8,9,6,6,8,6,8,3,8,6,4,9,3,Mathematics
6,10,2,6,5,3,7,6,7,9,8,4,4,9,7,5,8,7,Biology
10,10,4,5,3,8,9,4,6,8,4,7,4,9,6,4,8,5,Chemistry
10,8,4,5,3,5,8,7,8,7,7,7,3,8,8,7,9,6,Chemistry
4,5,3,3,3,7,5,6,7,8,5,4,7,3,4,4,9,6,Transportation
1,3,8,6,9,2,5,10,5,5,10,7,8,2,5,8,2,3,Arts and Entertainment
8,7,6,6,4,6,7,8,9,5,8,9,5,5,6,7,7,2,Business
3,7,3,6,5,5,4,7,7,6,7,3,8,3,4,6,4,6,Food
9,5,5,6,3,8,8,4,5,8,7,6,6,8,5,5,8,5,Telecommunications
6,8,2,5,5,6,7,4,6,9,7,6,5,8,7,7,8,6,Biology
4,7,2,4,4,4,5,6,6,10,7,6,8,5,3,6,8,4,Transportation
5,7,3,5,5,1,5,7,6,8,8,2,9,2,1,9,4,9,Husbandry
10,9,4,7,7,10,10,7,9,8,6,7,4,9,6,8,10,5,Aerospace
8,7,5,6,5,9,9,6,9,7,7,8,3,9,9,7,10,3,Financial Services
5,6,2,5,4,7,6,7,9,8,7,7,6,6,7,6,7,3,Manufacturing
7,5,4,5,4,6,6,7,6,9,5,7,7,4,3,5,9,3,Transportation
4,8,4,5,4,5,7,5,6,6,6,4,7,10,4,5,9,8,Biology
6,7,2,3,2,2,4,6,6,5,6,4,7,3,4,7,5,10,Agriculture
8,4,3,3,4,5,7,7,7,10,7,5,8,6,3,7,8,5,Construction
9,8,9,9,6,7,8,8,9,7,9,8,5,7,5,8,7,5,Educational
2,8,4,4,3,1,5,7,7,8,7,3,8,3,2,6,5,10,Husbandry
4,5,9,9,6,6,6,6,5,4,9,7,5,2,8,8,5,3,Publishing
8,5,5,5,2,10,6,4,6,8,6,8,6,6,6,8,7,3,Telecommunications
6,3,9,8,8,3,8,8,8,3,8,8,4,5,6,9,3,4,Publishing
9,4,6,7,4,9,10,5,8,9,8,10,1,9,6,6,9,1,Financial Services
6,5,7,7,7,5,7,6,8,5,9,8,6,2,6,9,5,4,Real Estate
3,4,6,7,10,2,6,8,8,3,10,5,6,2,6,9,4,4,Arts and Entertainment
4,4,7,7,4,3,8,7,8,5,9,8,3,2,6,10,7,5,Administrative and Support Services
2,2,4,6,9,6,8,10,8,7,7,5,7,4,8,9,4,8,Photography
5,6,2,3,5,4,8,5,5,10,7,5,5,4,6,5,7,3,Transportation
8,9,3,6,6,9,10,7,7,10,6,9,3,9,7,6,9,4,Aerospace
7,10,5,4,4,1,5,5,7,5,6,3,8,6,4,6,3,7,Agriculture
4,4,6,8,10,2,7,9,5,5,8,7,7,3,8,9,3,3,Arts and Entertainment
3,3,6,7,4,5,5,7,7,5,10,9,4,5,4,10,6,5,Administrative and Support Services
9,8,4,2,5,8,10,8,5,8,6,10,3,8,9,7,8,2,Information Technology
8,6,5,3,5,3,7,6,6,7,5,3,10,3,4,7,9,3,Construction
8,7,3,4,5,7,8,4,5,10,6,6,6,7,8,6,7,5,Telecommunications
7,5,7,5,4,7,6,8,7,8,9,9,5,5,8,10,5,2,Business
10,10,3,3,5,6,9,5,6,9,6,7,3,10,8,7,10,3,Chemistry
9,8,2,2,2,9,10,7,6,8,5,6,5,7,7,6,9,5,Engineering
8,6,8,9,5,6,9,6,8,5,7,6,5,5,6,7,8,6,Educational
5,7,4,4,4,4,6,6,8,9,7,7,6,6,4,5,9,5,Transportation
6,7,5,5,6,3,5,7,6,10,6,3,8,3,3,7,6,5,Construction
3,5,9,5,8,7,7,8,5,6,9,6,5,4,8,9,6,4,Advertising
4,3,6,7,10,4,8,9,5,4,10,7,8,3,8,8,2,4,Arts and Entertainment
10,6,4,5,2,6,9,5,6,8,8,10,2,7,6,7,7,1,Financial Services
9,9,4,7,6,9,10,8,7,9,8,9,2,10,7,7,8,4,Aerospace
2,3,7,5,10,1,5,9,8,2,9,5,6,3,6,8,5,3,Arts and Entertainment
5,3,8,4,5,4,5,6,9,7,8,6,4,2,5,9,5,5,Retail
10,10,4,6,6,7,8,7,9,8,6,10,2,10,8,8,8,2,Aerospace
5,8,7,4,7,2,6,4,9,6,8,7,6,7,5,8,7,6,Health Care
8,7,4,6,4,7,6,5,7,10,7,7,6,8,5,7,8,2,Utilities
1,4,7,8,9,2,8,10,5,2,9,6,6,2,8,8,5,3,Arts and Entertainment
7,10,3,2,4,5,9,4,5,7,6,7,4,8,6,5,9,3,Chemistry
9,4,5,6,4,8,10,3,8,7,6,10,4,9,9,8,8,2,Financial Services
5,6,3,3,2,4,5,7,8,5,7,3,8,4,4,7,2,10,Husbandry
8,5,6,3,2,7,6,6,6,8,8,9,5,8,5,6,9,5,Telecommunications
10,10,2,4,5,5,9,7,5,10,6,6,3,8,6,6,10,6,Chemistry
7,9,3,2,1,3,7,5,6,4,5,4,8,6,2,5,3,7,Agriculture
7,7,4,4,4,5,8,6,7,9,6,5,4,5,5,5,10,4,Utilities
4,5,3,5,5,5,6,6,7,8,7,4,8,4,3,5,10,6,Transportation
8,10,3,2,2,10,10,6,6,9,8,9,7,8,6,5,9,6,Engineering
8,5,7,5,6,3,8,7,7,6,10,8,6,2,8,8,6,3,Real Estate
10,10,3,3,3,9,9,5,5,10,7,10,1,10,10,7,9,3,Cybersecurity
6,6,2,3,4,6,8,7,8,8,7,5,10,3,5,8,8,5,Construction
3,8,3,4,5,4,5,5,9,5,6,2,9,4,3,6,4,10,Husbandry
8,3,7,4,6,3,6,7,7,5,8,10,6,5,5,7,4,4,Real Estate
10,10,5,5,3,9,8,8,7,8,6,8,1,9,10,6,8,3,Cybersecurity
2,7,3,5,5,4,7,7,8,6,7,3,7,5,5,8,3,6,Food
9,5,5,7,4,7,9,6,7,10,5,10,2,9,7,6,7,3,Financial Services
9,5,5,4,3,7,7,5,7,10,6,7,3,8,7,5,10,3,Telecommunications
9,8,9,6,6,7,9,8,6,6,7,9,6,6,8,9,8,6,Educational
10,9,5,4,5,9,10,6,5,8,4,8,5,7,8,6,8,4,Mathematics
5,5,4,3,6,4,9,7,7,9,5,6,6,8,5,7,10,4,Manufacturing
7,6,2,2,2,4,6,4,9,9,4,6,6,6,5,5,7,6,Waste Management
5,3,7,6,6,3,5,4,7,6,10,9,4,5,7,8,6,3,Public Administration
10,7,6,4,3,6,10,6,9,10,6,10,3,9,6,7,8,2,Finance
6,6,5,6,5,5,6,4,10,5,7,9,5,4,5,9,7,4,Public Administration
9,8,4,5,4,7,8,8,7,9,9,9,5,7,5,7,8,3,Aerospace
6,4,8,5,8,4,5,10,7,7,9,9,4,4,6,8,5,4,Advertising
9,5,2,5,5,8,6,5,5,7,8,5,5,5,6,5,7,5,Utilities
9,8,4,5,5,10,10,7,9,10,6,7,4,9,6,6,9,6,Engineering
8,5,5,2,4,3,8,7,6,10,7,5,9,5,3,5,9,3,Construction
9,8,4,7,7,10,10,6,7,10,9,9,3,7,7,5,9,5,Aerospace
9,8,4,3,4,9,10,7,7,8,7,6,7,9,8,8,10,7,Engineering
8,8,4,5,5,9,9,7,8,8,7,9,6,10,8,6,9,6,Engineering
3,8,2,3,3,1,6,8,9,7,8,1,8,3,2,8,2,9,Husbandry
7,8,4,3,3,8,10,7,6,9,7,8,2,8,8,8,8,4,Information Technology
10,10,5,4,2,6,10,7,5,7,5,8,2,9,7,6,8,5,Mathematics
6,6,9,8,5,6,8,6,8,6,9,8,3,3,8,8,3,4,Legal Services
7,6,3,5,6,5,7,6,8,10,7,4,9,6,3,8,9,5,Construction
5,5,5,3,5,4,9,6,7,9,5,7,5,5,6,8,9,5,Manufacturing
4,3,10,7,3,6,9,6,8,7,10,10,5,2,5,8,5,3,Legal Services
7,10,4,6,4,3,7,7,8,6,7,7,3,8,7,10,6,5,Health Care
9,9,2,4,4,6,10,5,7,8,6,6,3,10,6,4,10,3,Chemistry
5,2,4,7,10,3,7,8,6,8,9,7,8,5,7,7,4,8,Photography
8,9,2,2,3,5,9,6,5,9,7,8,6,10,7,7,7,3,Chemistry
9,7,6,6,3,6,9,8,8,5,9,9,4,5,8,8,7,4,Business
6,6,2,4,4,6,7,4,9,8,7,5,3,5,4,8,9,5,Manufacturing
9,5,6,7,2,9,8,6,6,7,6,9,4,8,6,5,10,2,Financial Services
8,9,4,3,2,9,10,7,7,8,6,10,4,7,9,6,10,1,Cybersecurity
4,2,8,5,10,1,8,10,5,2,8,8,8,2,8,9,4,4,Arts and Entertainment
9,6,8,6,6,6,8,6,9,5,8,6,5,8,8,9,5,7,Educational
7,4,2,6,5,4,6,5,8,7,5,5,6,6,5,4,10,3,Transportation
4,3,5,4,9,6,5,9,5,5,8,5,5,5,6,10,7,6,Photography
4,8,2,5,3,4,4,5,6,7,9,3,10,3,1,6,2,10,Husbandry
4,9,1,3,4,3,5,6,8,7,7,5,9,5,2,7,5,7,Agriculture
5,7,4,2,3,5,7,6,8,9,7,4,7,4,5,5,6,5,Waste Management
8,6,6,7,5,6,8,3,8,7,5,10,4,6,6,7,7,3,Financial Services
7,8,2,3,4,4,8,4,6,7,5,5,8,5,4,7,6,5,Waste Management
9,8,4,2,3,8,9,7,5,8,4,7,3,9,7,5,7,6,Chemistry
2,5,5,2,4,2,5,5,7,8,8,2,9,3,2,9,3,8,Husbandry
6,9,4,5,2,4,8,5,8,7,5,5,7,10,4,7,8,7,Biology
6,6,4,2,5,6,7,6,8,10,8,6,8,5,3,7,8,3,Construction
9,7,4,4,5,9,10,7,6,9,5,8,5,8,6,8,10,4,Engineering
10,7,4,5,3,9,8,4,9,10,8,9,2,8,6,8,7,1,Financial Services
9,7,3,4,3,7,10,6,8,10,7,10,1,7,8,5,9,4,Financial Services
10,10,2,5,4,6,10,4,6,7,7,9,2,8,7,4,8,5,Mathematics
2,5,8,7,8,1,5,9,5,4,10,6,8,4,7,8,3,4,Arts and Entertainment
2,6,4,4,6,2,6,8,6,5,7,5,5,2,6,7,5,7,Food
6,3,5,5,3,3,6,5,7,6,9,8,4,2,6,9,6,6,Public Administration
6,6,6,4,5,5,7,7,8,4,8,8,3,4,6,9,4,5,Administrative and Support Services
4,5,10,6,5,3,7,7,7,6,9,8,3,2,8,9,3,4,Legal Services
7,4,5,4,7,4,5,7,8,6,9,10,7,2,6,8,6,5,Real Estate
7,3,5,4,8,7,5,7,6,4,8,7,6,2,7,8,6,2,Retail
5,9,5,5,2,4,7,4,8,6,7,5,9,4,5,5,5,8,Agriculture
3,2,8,6,9,4,6,9,8,5,10,6,5,3,6,10,5,2,Arts and Entertainment
3,7,3,5,5,4,7,7,5,6,6,6,8,3,5,6,6,7,Food
8,5,7,5,4,7,9,5,9,5,7,9,2,7,7,9,6,2,Business
10,10,3,7,7,7,8,6,6,8,6,7,2,7,7,7,10,2,Aerospace
6,9,5,3,4,5,9,7,7,9,7,7,5,7,7,8,8,7,Biology
4,4,3,4,5,4,5,7,7,7,7,5,8,3,5,7,4,5,Food
3,6,5,7,4,5,6,6,7,4,7,8,5,3,6,10,4,5,Administrative and Support Services
4,2,7,8,9,3,6,9,8,3,8,6,7,3,5,10,5,3,Arts and Entertainment
4,6,9,6,6,5,8,7,8,7,9,10,3,3,5,10,6,5,Legal Services
8,6,6,4,3,6,10,3,6,7,7,8,3,6,6,6,9,3,Financial Services
5,5,7,7,9,6,5,9,6,8,6,5,6,4,5,10,4,8,Photography
7,6,5,4,1,6,6,5,8,6,7,6,8,6,3,7,8,5,Waste Management
3,3,5,7,3,3,5,7,6,6,10,10,5,5,6,10,7,4,Administrative and Support Services
4,5,5,5,3,4,8,6,5,6,9,8,5,4,4,9,4,4,Administrative and Support Services
8,8,5,6,3,7,9,5,6,7,5,9,1,7,8,6,10,3,Finance
9,7,5,3,4,8,8,4,8,9,8,5,4,7,5,8,7,5,Utilities
10,10,3,4,2,6,8,5,5,9,4,6,6,9,5,7,9,5,Chemistry
8,5,6,4,4,8,9,5,6,9,6,10,4,8,9,8,10,2,Financial Services
5,3,7,5,4,4,6,8,7,3,9,9,6,4,5,7,7,3,Real Estate
7,7,3,3,5,10,9,7,7,7,6,6,3,7,5,7,10,5,Telecommunications
6,5,7,8,4,6,7,4,8,5,8,9,5,5,6,10,7,4,Public Administration
3,9,1,2,1,3,4,3,8,5,7,5,9,3,5,5,5,9,Agriculture
6,9,3,5,5,6,10,4,7,9,7,7,5,8,7,8,6,6,Biology
7,6,3,5,2,4,7,6,8,9,7,6,6,4,4,4,9,6,Transportation
6,6,5,4,4,7,6,6,7,9,7,5,4,6,7,8,8,5,Manufacturing
7,4,5,5,4,5,6,5,7,6,9,8,5,7,7,9,8,2,Business
8,4,5,6,6,5,9,5,8,6,8,9,5,5,8,7,7,5,Business
7,8,5,4,5,4,10,6,6,8,7,4,7,9,6,8,7,5,Biology
9,6,6,7,3,8,10,7,7,7,5,8,4,7,6,7,7,3,Finance
2,5,3,4,3,1,5,8,9,7,7,1,10,2,1,7,4,10,Husbandry
7,4,8,8,5,3,7,4,8,3,7,10,6,5,5,9,5,4,Public Administration
